,intitule,rome,score,X1,X2,cluster
104,Animation de vente,D1501,,0.6904564780181479,38.2141094696863,22
105,Management/gestion de rayon produits alimentaires,D1502,,10.6991519162147,31.0163484698922,37
106,Management/gestion de rayon produits non alimentaires,D1503,,10.129852320326698,30.763534464617802,37
107,Direction de magasin de grande distribution,D1504,,19.7024775656281,20.2398041052179,36
108,Personnel de caisse,D1505,,-0.112959730478893,40.9725948874639,22
109,Marchandisage,D1506,,18.989687349380397,22.123651794475396,36
110,Mise en rayon libre-service,D1507,,8.322444094724341,33.9872260768354,37
111,Encadrement du personnel de caisses,D1508,,-0.259826103936933,39.3124281620727,22
112,Management de département en grande distribution,D1509,,23.192530994334398,18.474510239091,36
113,Animation de site multimédia,E1101,,21.250286336556698,5.05165741809767,35
114,"Ecriture d'ouvrages, de livres",E1102,,66.93357689994271,-0.693905471583755,38
115,Communication,E1103,,70.1665622126766,-2.9101793125303104,38
116,Conception de contenus multimédias,E1104,,22.932987362949,13.5446490546891,39
117,Coordination d'édition,E1105,,70.1496678238223,-3.89613681026325,38
118,Journalisme et information média,E1106,,72.7417574282457,6.9105337375370395,40
119,Organisation d'évènementiel,E1107,,-2.47387901050664,31.8387060535671,41
120,"Traduction, interprétariat",E1108,,72.8520434887611,7.9800442368683395,40
121,Photographie,E1201,,-9.095632160417109,-20.2935685077476,42
122,Production en laboratoire cinématographique,E1202,,-8.982842396743571,-22.468829712527498,42
123,Production en laboratoire photographique,E1203,,-9.029000434325619,-21.635567026272604,42
124,Projection cinéma,E1204,,-7.74109070847795,-29.4615145272317,43
125,Réalisation de contenus multimédias,E1205,,66.9522502734004,-8.521018188422481,44
126,Conduite de machines d'impression,E1301,,-9.86548092084585,-65.93752197014,45
127,Conduite de machines de façonnage routage,E1302,,-9.18702289922642,-66.5428764128496,45
128,Encadrement des industries graphiques,E1303,,66.1255024352332,-11.7949372676841,44
129,Façonnage et routage,E1304,,-24.5353073534824,-19.166774399222398,33
130,Préparation et correction en édition et presse,E1305,,72.68887364953841,6.36325746589465,40
131,Prépresse,E1306,,67.6418206902476,-9.90009323495232,44
132,Reprographie,E1307,,68.9526858177038,-9.98949462228856,44
133,Intervention technique en industrie graphique,E1308,,66.7557507866072,-11.0103963895014,44
134,Développement et promotion publicitaire,E1401,,22.868678058235698,21.2811746651541,36
135,Élaboration de plan média,E1402,,21.396338229526602,7.741923882212171,35
136,Architecture du BTP,F1101,,42.4665249598264,12.556431886071598,26
137,Conception - aménagement d'espaces intérieurs,F1102,,-45.1865182446041,-41.9974254312548,16
138,Contrôle et diagnostic technique du bâtiment,F1103,,42.7027865114732,16.8582309152038,26
139,Dessin BTP,F1104,,2.4903356959453,-7.1111162937837005,46
140,Études géologiques,F1105,,-1.39220987821397,-8.53338552768085,46
141,Ingénierie et études du BTP,F1106,,42.293039310507396,15.072346004363501,26
142,Mesures topographiques,F1107,,1.26984366411552,-7.049012079602701,46
143,Métré de la construction,F1108,,41.4441178833769,18.2526289013605,26
144,Conduite de travaux du BTP,F1201,,38.2946196693665,17.8922715614437,26
145,Direction de chantier du BTP,F1202,,4.5879867285663,7.68025539753528,47
146,Direction et ingénierie d'exploitation de gisements et de carrières,F1203,,0.654597331087599,-6.42124745934254,46
147,Sécurité et protection santé du BTP,F1204,,39.7736295876411,16.5606147448721,26
148,Conduite de grue,F1301,,-24.127736913827896,4.621905891665059,48
149,Conduite d'engins de terrassement et de carrière,F1302,,-26.703733384208398,1.7465897838883302,48
150,Extraction liquide et gazeuse,F1401,,-61.29336834816029,-17.258501543350302,49
151,Extraction solide,F1402,,-62.1419169988539,-16.832729138580802,49
152,Montage de structures et de charpentes bois,F1501,,-55.028732942762396,-23.3657049034313,50
153,Montage de structures métalliques,F1502,,-55.07004645553639,-22.4381584528337,50
154,Réalisation - installation d'ossatures bois,F1503,,-58.296505753812,-32.600104732419894,12
155,"Application et décoration en plâtre, stuc et staff",F1601,,-51.299539399456606,-35.7474475271239,51
156,Électricité bâtiment,F1602,,-51.8438513317259,-16.5747146896324,52
157,Installation d'équipements sanitaires et thermiques,F1603,,-52.3247206810355,-16.0359673649573,52
158,Montage d'agencements,F1604,,-60.823850011054496,-32.7541213631567,12
159,Montage de réseaux électriques et télécoms,F1605,,1.26106168321292,-30.2317020070425,13
160,Peinture en bâtiment,F1606,,-53.8707006554585,-26.9260384216697,50
161,Pose de fermetures menuisées,F1607,,-58.4961584512963,-32.0816451832371,12
